1,"1896 Summer",Athina
2,"1900 Summer",Paris
3,"1904 Summer","St. Louis"
4,"1906 Summer",Athina
5,"1908 Summer",London
6,"1912 Summer",Stockholm
7,"1920 Summer",Antwerpen
8,"1924 Summer",Paris
9,"1924 Winter",Chamonix
10,"1928 Summer",Amsterdam
11,"1928 Winter","Sankt Moritz"
12,"1932 Summer","Los Angeles"
13,"1932 Winter","Lake Placid"
14,"1936 Summer",Berlin
15,"1936 Winter",Garmisch-Partenkirchen
16,"1948 Summer",London
17,"1948 Winter","Sankt Moritz"
18,"1952 Summer",Helsinki
19,"1952 Winter",Oslo
20,"1956 Summer",Melbourne
21,"1956 Summer",Stockholm
22,"1956 Winter","Cortina d'Ampezzo"
23,"1960 Summer",Roma
24,"1960 Winter","Squaw Valley"
25,"1964 Summer",Tokyo
26,"1964 Winter",Innsbruck
27,"1968 Summer","Mexico City"
28,"1968 Winter",Grenoble
29,"1972 Summer",Munich
30,"1972 Winter",Sapporo
31,"1976 Summer",Montreal
32,"1976 Winter",Innsbruck
33,"1980 Summer",Moskva
34,"1980 Winter","Lake Placid"
35,"1984 Summer","Los Angeles"
36,"1984 Winter",Sarajevo
37,"1988 Summer",Seoul
38,"1988 Winter",Calgary
39,"1992 Summer",Barcelona
40,"1992 Winter",Albertville
41,"1994 Winter",Lillehammer
42,"1996 Summer",Atlanta
43,"1998 Winter",Nagano
44,"2000 Summer",Sydney
45,"2002 Winter","Salt Lake City"
46,"2004 Summer",Athina
47,"2006 Winter",Torino
48,"2008 Summer",Beijing
49,"2010 Winter",Vancouver
50,"2012 Summer",London
51,"2014 Winter",Sochi
52,"2016 Summer","Rio de Janeiro"
